# Task 2C: origin of the centered correlation floor. Four centering variants,
# n=210 valid layer-centroid rows (104 April + 106 May), original-adjacent
# pairs only (no bridging gaps>12h), dt=median consecutive gap (h).
#   grand_mean     = layer centroid minus the single grand-mean MeanEmbedding
#                     over all 215 in-window valid state rows (= Task 2B 'centered').
#   per_month_incl = layer centroid minus its own month's mean centroid (April
#                     mean from the 104 April rows, May mean from the 106 May
#                     rows, per layer); ACF over ALL original-adjacent valid
#                     pairs (incl. the few pairs straddling the April/May boundary).
#   per_month_excl = same per-month-centered series, but ACF EXCLUDES lag pairs
#                     whose two rows fall in different months.
#   detrended       = layer centroid minus a per-coordinate OLS linear-in-time fit
#                     (fit over the full 210-row window, all 384 dims), independent
#                     of grand-mean/per-month centering.
# rho1 = lag-1 mean cosine similarity. tau_ar1_h = -dt/ln(rho1) with adjacency-
# preserving moving-block-bootstrap 95% CI (block=8, 1000 resamples, fixed seed
# = 42+offset, see boot_seed; offsets distinct from Task 2B's {0,1,2,10,11,12}).
# tau_exp_h/R2/A/C = NLS fit sim(k)=A*exp(-k*dt/tau)+C on lags 1-16 (same model as
# Task 2/2B); C is the fitted asymptotic offset, reported for comparison with the
# empirical floor. floor = mean ACF over lags 12-16 (point estimate). Its 95% CI
# uses a SEPARATE adjacency-preserving moving-block bootstrap with block=24
# (seed = boot_seed_floor = boot_seed+5000, 1000 resamples): a block of length 8
# cannot contain any lag-12..16 pair by construction (max representable lag in an
# Lb-row block is Lb-1), so block=8 cannot yield a floor CI; block=24 is the
# smallest multiple of 8 exceeding lag 16.
# floor_ratio_vs_grand_mean = floor(variant)/floor(grand_mean) for the same layer
# (the Task 2C decision metric; grand_mean rows have ratio=1).
# n_pairs_lag1/lag16/floor_min = number of original-adjacent valid pairs at lag 1,
# lag 16, and the minimum across lags 12-16 respectively.
variant,layer,n_layer_rows,dt_hours,n_pairs_lag1,n_pairs_lag16,n_pairs_floor_min,rho1,tau_ar1_h,tau_ar1_ci95_lo,tau_ar1_ci95_hi,tau_exp_h,tau_exp_R2,tau_exp_A,tau_exp_C,floor,floor_ci95_lo,floor_ci95_hi,floor_ratio_vs_grand_mean,boot_seed,boot_seed_floor,n_boot_ar1,n_boot_floor
grand_mean,surface,210,5.740457922777778,202,153,153,0.3663944181739324,5.717331997840964,4.977064550068067,6.377866955890893,57.37091432884792,0.9473660060548983,0.26338929299899205,0.12032183783564925,0.1848402723607654,0.11531189025392967,0.24413829022723366,1.0,242,5242,1000,1000
grand_mean,mid,210,5.740457922777778,202,153,153,0.3611842705723368,5.63692449626452,4.936674008774644,6.3217041012772,100.87473239146053,0.971292890544437,0.34185351313595197,0.03141459072911937,0.18585623635973023,0.11928581407053337,0.2413767279688246,1.0,243,5243,1000,1000
grand_mean,residue,210,5.740457922777778,202,153,153,0.3861223439620865,6.032421029157965,5.31592786399723,6.761210895164884,64.52960952959782,0.9712344756693799,0.2894526465473563,0.10577079979435364,0.18681094157821238,0.11573815547790613,0.23864576949775756,1.0,244,5244,1000,1000
per_month_incl,surface,210,5.740457922777778,202,153,153,0.2831180250387177,4.549090229026036,3.971914984227968,5.021288654083215,52.142526303816005,0.9455147041901346,0.2896258162287692,0.015292017334543535,0.07754160599050897,0.04355948178659715,0.10381699555657502,0.4195060145722233,252,5252,1000,1000
per_month_incl,mid,210,5.740457922777778,202,153,153,0.27710228821183447,4.472961282900257,3.879764631611585,5.0142470403264845,115.76028056745594,0.9787353563812077,0.44652521597444256,-0.15367447438095275,0.06980906383319492,0.03220724772369942,0.09616585463028841,0.375607863370683,253,5253,1000,1000
per_month_incl,residue,210,5.740457922777778,202,153,153,0.31585498727109984,4.980995256565753,4.457204216275738,5.472636201292979,57.32335057597494,0.9738107807334404,0.3189299133310398,0.011459543121476842,0.08734819428464094,0.04435536797002617,0.11654499824231035,0.46757536548291934,254,5254,1000,1000
per_month_excl,surface,210,5.740457922777778,201,137,137,0.2832492447523219,4.550761292743466,4.007802105259298,4.965594539774438,52.197152210682454,0.9429218471088887,0.2836240519264104,0.02246012131558877,0.08374752759102885,0.046012932112549254,0.11633705520739085,0.4530805247223023,262,5262,1000,1000
per_month_excl,mid,210,5.740457922777778,201,137,137,0.27849538682638086,4.490508022218382,3.8687131781641297,5.038263678660676,127.15555785680156,0.9757891399407629,0.4570056155532512,-0.16432093282241503,0.07955286494515498,0.040275280186760014,0.11123972465280484,0.42803441252935986,263,5263,1000,1000
per_month_excl,residue,210,5.740457922777778,201,137,137,0.3158147409585776,4.980444570955477,4.433647911028323,5.531667705752765,62.37036078042187,0.9731600200102232,0.322375455751656,0.005901657787462461,0.09238668201258328,0.04643276878626615,0.1285891688854994,0.494546418063546,264,5264,1000,1000
detrended,surface,210,5.740457922777778,202,153,153,0.2650662131799275,4.323364447044638,3.860892142816739,4.718346292897661,55.51095193758638,0.9318349841700769,0.28176845358126185,0.00351131759605845,0.07006081123679174,0.034900975457465074,0.10384119925438164,0.3790343432304042,272,5272,1000,1000
detrended,mid,210,5.740457922777778,202,153,153,0.2583059862344748,4.240849440392717,3.7397725977474114,4.696527855262365,108.24115751211178,0.9740744542406233,0.3940645139153612,-0.12081866260411385,0.06676164298854528,0.030080568519884845,0.09932401555774102,0.3592112069854151,273,5273,1000,1000
detrended,residue,210,5.740457922777778,202,153,153,0.30356162386304353,4.8151310775416105,4.384594804175203,5.174732960367287,58.05977932254554,0.9679548750666316,0.30618166938910907,0.008627231530463188,0.08241633007596089,0.038748054062460464,0.11574159060171578,0.4411750691886296,274,5274,1000,1000
